subject_id	sid_hash	excluded	solver	p1_accuracy	p2_accuracy	p1_last_acc	p2_last_acc	p2_non_md	p2_last_8_solved	dtest_solved	dtest_duration	dtest_num_attempts	dtest_skipped	gender	age	education	edu_status	prior_exposure	prior_attempt	prior_completed	m_alg	m_geom	m_trig	m_sv_calc	m_mv_calc	m_linalg	m_pr_stat	m_disc	m_logic	q_attn_check1	q_attn_check2	q_attn_check3	q_puzzle	q_puzzle_digit	digit_target	digit_distractor	q_confidence	q_strategy	q_digit_selection	q_digit_notice	q_hint_select	q_hint_explain	q_digit_check	q_check_strategy	q_check_strategy_select	q_additional_info	tut_house	p1_last_acc_freq
11	deb9be	FALSE	TRUE	1	0.921875	0.9655	0.93775	0	7	FALSE	NA	0	TRUE	Female	39	mast	Completed	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	target	6	6	3	100	1. I saw that the number would be 3 or six.<>2. I determined the block of nine with both the 3 and the 6 so I could ignore that block. <>3. Then I looked for where the 3 and the 6 where together on a line to eliminate it. <>4. FInally I found the line with the 6 and knew that the other 6 had to be in the last remaining block.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['targetSingle']	NA	NA	NA	NA	It was either a 6 or a 3. I just had to find the lone number in the last available square and it would be the one in the green space.	column	0.9716932924256366
12	0fc5c2	FALSE	TRUE	1	0.828125	0.966	0.850125	1	8	FALSE	170.823	2	FALSE	Female	27	mast	Completed	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	target	6	6	5	100	I looked at each row to find a number that was the only one on the row. Then I look to see if it is the only one in the box. If it is I look at what the opposite number would go in the column, then I go to the spot I'm trying to fill and choose the other opposite number of the one that would go in that row.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	It was in a box on its own.	['targetSingle']	It was the only one in the row and was the only one in the block. Meaning I know for sure that the number to go in the column is the opposite number to choose. In this case, 5.	No, I just submitted my original guess without checking any further.	NA	NA	I go through find a row with only one number and a box with only one number, in this case 6. The only number that could go in the column is a 5. So then I go to the green box and choose 6, as it can not be a 5.	column	0.9716932924256366
13	407610	FALSE	TRUE	0.96	0.984375	0.96075	0.984375	0	8	FALSE	NA	0	TRUE	Male	23	bach	Currently pursuing	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	5	5	9	90	Basically I used the process of elimination. In the first cell and the second cell I see that 5 is unable to go there cause it would be redundant across the row. Moving on the columns are already filled with 2, 4, 5, and 6 so I don't need to worry about those. Then I know that the box at the bottom middle cannot contain any more 9 and 5's. So the only place that leaves to input 5 is the green box.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	Well the candidate that was more likely to be the answer was when there was a number alone across the field of interest. If that number was alone then I knew that the other different number could be put there only leaving the redundant number to be the right answer.<><>For example, the 5 in the 3rd quadrant made it impossible to put a 5 there so it gave me an idea that it could only be put in the green box eliminating the other choices.	['targetSingle']	Like I explained before inputting the same number across either the row or column would mean it is redundant and wrong so that kind of reserves that area then for another number leaving us the only option being that redundant number.	Yes, I checked to see whether the candidate was actually correct.	I just double checked my process of elimination to see if my number of interest could be put in other slots. If not and the only area was the green highlighted area then that means that is the only correct spot it could be slotted in.	I looked at other numbers in the puzzle until I noticed something that helped me decide whether or not the candidate was correct.	Basically to sum it up it was all in the process of elimination. Looking at the numbers across to eliminate some highlighted spots. And then using the 3 x 3 boxes to eliminate 3 rows or columns finally leaving only one slot for one number.	column	0.9641334729689914
14	c66aa5	FALSE	TRUE	0.96	0.984375	0.956125	0.98	0	8	FALSE	NA	0	TRUE	Male	68	phd	Completed	Yes	No	None	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	3	3	4	100	No 3 or 4 in the 3 left blue squares. No 3 or 4 in the forth one. No 3 in the remaining empty square. The only place for 3 is the green one.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	4 is above 5, which occupies a cell. 3 is below the only remaining candidate empty cell.	['emptySingle', 'occupied']	Again, 4 is above 5 but 3 is below the empty cell.	No, I just submitted my original guess without checking any further.	NA	NA	You start with the 3x3 square, then find the column with neither number can be placed, then find the column where one of the two can't be placed. Green cell becomes its home.	row	0.9641334729689914
15	832f1f	FALSE	TRUE	0.96	0.96875	0.961	0.97075	1	8	FALSE	NA	0	TRUE	Male	50	bach	Completed	Yes	No	None	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	target	6	6	7	100	Looking at the most shown numbers  given and comparing to the other numbers given, you can figure out the correct number that is missing.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The placement on the board of 7's and 6's.	['targetDouble', 'targetBox', 'targetSingle', 'distractorSingle', 'distractorDouble', 'distractorBox']	Clearly the answer is 6 due to the arrangement of 7's and the 5.	Yes, I checked to see whether the candidate was actually correct.	I checked each row and column quickly using simple addition.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	Basically, you get used to just seeing the right answer in your head after comparing all the other numbers available in the puzzle.	row	0.9641334729689914
16	799567	FALSE	TRUE	0.96	0.921875	0.958625	0.932	0	7	FALSE	99.207	6	FALSE	Female	55	prof	Completed	Yes	Yes	None	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	target	5	5	4	100	the box could only contain a 5 or a 4. the box on the farthest right in this row can contain a 4 therefore the box must be a 5	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['emptySingle', 'emptyDouble', 'emptyBox']	NA	NA	NA	NA	i considered each number as a possibility equally, then looked at the remaining blue boxes to see if one of the numbers would fit in one of those other blue boxes. if it could, then the remaining number was the correct one for the box I was trying to solve.	row	0.9641334729689914
17	5b8bc0	FALSE	TRUE	0.92	1	0.958875	0.990375	0	8	FALSE	318.225	3	FALSE	Female	29	bach	Completed	Yes	Yes	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	5	5	1	100	I eliminated the five and one from the final three boxes because they were already filled in the other two boxes of the 3x3 box so they cannot be shared. I then looked at columns that had five and one, and two columns had 5 and one column had one. The two columns couldn't have five twice, so I only remained with one possibility, that's why I placed the number in the box with certainty.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['distractorBox', 'targetBox', 'targetSingle']	NA	NA	NA	NA	Basically I used elimination method, to ensure that the number I eventually placed in a certain box wouldn't contradict any other box within the grid, row, or column.	row	0.9616193903003353
18	7bbbeb	FALSE	TRUE	0.92	0.984375	0.956375	0.976875	0	8	FALSE	NA	0	TRUE	Male	48	bach	Completed	Yes	Not sure	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	target	2	2	7	100	First, I noted that the answer had to be 2 or 7, because these are the numbers appearing outside this column. Second, I asked whether the 2 could go anywhere else in the column than in the box of interest, and saw or started to see that it could not. Next, I checked my intuition that 2 was the correct answer by verifying that the 7 could go in at least two places in the row, i.e. in the box of interest or in the next available box (below the 6), which indeed proved to be the case, thus verifying that the answer had to be 2.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['targetDouble', 'targetSingle', 'targetBox', 'distractorDouble', 'distractorSingle', 'distractorBox']	NA	NA	NA	NA	I did sense vaguely at times in the previous section something that, while receding from awareness but that no doubt remained true in my approach to this puzzle -- namely that I was not necessarily working on the puzzle in the most efficient manner. One thing I noted at times but didn't fully figure out the possible utility of is the fact that information relevant to choosing between the two possible answers often seemed available just by confining my attention to the three rows corresponding to the 3x3 box in which the box of interest appeared. This narrow a focus may not always be sufficient to indicate the answer -- I haven't figured that out yet. But I do sense there's likely a more efficient approach than the one I've been tending to use.	column	0.9616193903003353
19	d535b1	FALSE	TRUE	0.92	0.90625	0.959625	0.93625	1	8	FALSE	NA	0	TRUE	Female	35	bach	Completed	No	No	None	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	target	1	1	8	100	In the blue column, the bottom three blocks are within a 3x3 blocks having 1 and 8, so these bottom 3 blocks can't be 1 or 8.  In the middle three blue blocks, the bottom block is in a line having 1 and 8, so it can't be 1 or 8. In the top three blue blocks, there is a line with 1. Thus, the middle block in the middle three blocks should be 1. I use the way to exclude blocks and find out which block should be exclusive for 1 or 8.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	I checked the numbers in other lines and cells, to make sure which candidate is correct.	['targetSingle', 'targetBox', 'distractorBox']	The 1 and 8 in the bottom I highlighted in yellow means the bottom three blue cells can't be 1 or 8. The top highlight cell in number 1 means that line can't have number 1.  However, number 1 has to show up in some cell.	No, I just submitted my original guess without checking any further.	NA	NA	I just use the method in the tutorial to remove some cells and then narrow down the options.	column	0.9616193903003353
20	4c715b	FALSE	TRUE	0.96	0.9375	0.956375	0.963	0	8	FALSE	NA	0	TRUE	Male	43	hs	Completed	Yes	No	None	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	target	3	3	5	100	Find a number that is alone in a row or column perpendicular to the solvable row. This number must not be in a box that includes the solvable row. That first number that was found is the answer	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	It is the only number in its row.	[(2, 0), (2, 2), 'emptySingle', (2, 4), (2, 5), (2, 6), (2, 7), (2, 8)]	It is the only number in its row and not in the box containing the solvable column.	Yes, I checked to see whether the candidate was actually correct.	It must not also be in the box containing the solvable column. The other number (5) must therefore fit in the same row as the 3, thus, the 3 fits is the box to be filled.	I looked at other numbers in the puzzle until I noticed something that helped me decide whether or not the candidate was correct.	There are only 2 possibilities for an answer. 3 and 5 in this case. Those are the only numbers that give clues. Only 5 can fir in the row with only a 3, therefore, the 3 must go in the other box indicated as the answer box.	column	0.9614193936199116
21	40d83c	FALSE	TRUE	0.92	0.984375	0.95325	0.987875	1	8	FALSE	NA	0	TRUE	Female	26	hs	Completed	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	1	1	7	90	1. My first step involves finding the 3x3 grid which eliminates both numbers (in this case 7 and 1) from all 3 of it's blue cells. In this case it is the top-most grid.<><>2. After eliminating these 3 cells, I check to see if any rows have both a 1 and 7 on them, thereby eliminating the number from the corresponding blue cell entirely. In this case I am able to eliminate the cell in the row which is fourth from the top.<><>3. I locate the remaining possible cells. Narrowing my choices makes it easier to choose. I try to find the blue cell which would allow either a 1 or a 7, in order to single out which remaining number belongs in the green cell. I find that a 1 can be placed in the bottom row, but it is already filled. The cell just above the 6 is the only blue cell which could have a 1 or a 7, only there is a 1 in it's row, so I must put in a 7.<><>4. After eliminating the 7 I know that the only number which can be placed in the green cell is a 1.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The only blue cell which would fit one of the two numbers, could only fit a 7 due to there already being a 1 in that row.	['emptySingle']	Only a 7 could be fit into this cell, leaving only one remaining place where a 1 could be placed (the green cell).	Yes, I checked to see whether the candidate was actually correct.	I would give a quick survey of the entire grid, just to confirm that I had made no mistakes, and that I had eliminated the correct number.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	My main strategy involved making sure that I was able to accurately place a number in the blue cell, thereby creating only one possible solution to the green cell. I used the process of elimination, more or less.	column	0.9588549071151686
22	1e8dff	FALSE	TRUE	0.92	0.90625	0.955375	0.938	0	8	FALSE	NA	0	TRUE	Female	24	hs	Completed	No	No	None	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	target	4	4	3	100	basically i only look at the two digits used outside the blue row then i narrow down which column couldnt possibly be but one of the digits since no column or row can repeat digits	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	the last blue square could be a three so the green one is the only one remaining that could be a 4	['emptySingle']	this cant be a 4 and neither can any of the other blue cells but this is the only blue cell that could be a 3	Yes, I checked to see whether the candidate was actually correct.	i went over the columns again to be sure it couldnt go anywhere else	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	just make sure it cant be in the other blue squares based on whats in the columns also that the 9 main squares dont also contain the digit	row	0.9588549071151686
23	791f2f	FALSE	TRUE	0.96	0.984375	0.951875	0.979	0	8	FALSE	NA	0	TRUE	Male	23	bach	Completed	Yes	Yes	None	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	target	2	2	7	100	First, I couldn't put use either number in the lower 3 blue spaces. Second, I couldn't put either number in the blue space below the 6. I could put number 7 in the topmost blue space, because the 2 in that row wouldn't prevent me from doing so. So I should put 2 in the only remaining possible blue space (between the 3 and the 6).	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	It seemed that often in these puzzles the number that was by itself in a row/column was likely the correct option. My eye was drawn to the two in the upper right corner in this regard.	['targetSingle']	As I explained in the previous question, numbers alone in a row (that is, a row that also contains a blank blue space) were often the correct option. In this case, the 2 I highlighted fulfills this criterion.	Yes, I checked to see whether the candidate was actually correct.	I knew that the bottom four blue spaces must remain blank. I then looked at the top blue space and saw that putting a 2 there would not be possible. So I was left with putting the 2 in the green space.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I feel that I have fully explained my though process in the previous questions.	column	0.9564723617420127
24	350739	FALSE	TRUE	0.96	0.96875	0.955	0.97225	1	8	FALSE	NA	0	TRUE	Male	31	hs	Completed	Yes	No	None	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	target	6	6	8	100	Identify the two potential numbers, 6/8.<>Search for the row/column (row here cuz the blue is vertical) with a single one of those two options with an empty blue cell that is not inside the 3x3 cell with the two options (ie bottom middle in this one).<>That is the answer.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	I mean, I think I explained it in the last text answer. The lone 6 with an empty blue means the green has to be 6.	['targetSingle']	That means the blue across from it has to be 8, therefore the green has to be 6.	No, I just submitted my original guess without checking any further.	NA	NA	I think I explained it thoroughly.	column	0.9564723617420127
25	f26608	FALSE	TRUE	0.92	1	0.946125	0.98925	0	8	FALSE	NA	0	TRUE	Male	41	asso	Completed	Yes	No	None	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	target	1	1	2	100	I can see that the middle block has both of the other horizontal rows filled with 1's (vs only one 2) and the top block (with the blue row) has both a 1 in it so the answer has to be a 1	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	There were two horizontal rows with a 1	['targetSingle', 'targetDouble']	It meant the other row had to have a 1	Yes, I checked to see whether the candidate was actually correct.	I checked to see that a 1 couldnt go anyplace else in the blue row	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I think I pretty much covered everything already	column	0.9538292235963919
26	7e3d43	FALSE	TRUE	0.96	0.9375	0.94375	0.9555	3	8	FALSE	NA	0	TRUE	Female	38	hs	Completed	Yes	No	None	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	target	7	7	2	50	I saw multiple 7's and multiple 2's.  Assuming that the answer was one of those two numbers I looked over and chose 7 because it at quick glance seemed the most likely to belong there.  I chose to go on the multiples because I noticed the trend of using the multiples as an answer during the 120 second timed puzzles as well as the tutorial screens	I arbitrarily chose between the two candidates because they seemed equally promising to consider.	NA	['targetBox', 'distractorBox']	NA	NA	NA	NA	I mostly chose 7 randomly and also because lucky 7's.  I didn't notice anything right off the bat to tell me that it would be the correct answer.  It just stood out to me more.	column	0.9525755941249158
27	00e988	FALSE	TRUE	0.88	0.890625	0.949875	0.926	1	8	FALSE	NA	0	TRUE	Male	28	mast	Completed	Yes	No	None	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	target	6	6	4	100	I paid attention to the numbers blocking the blue line to help decide what cannot go into the green block	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The positioning of the numbers makes easier to decide	['emptySingle', 'emptyDouble', 'emptyBox']	The positioning of the numbers	Yes, I checked to see whether the candidate was actually correct.	I checked to ensure no number is sharing the same attribute with my choice	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I checked to verify that the number i choose cannot go into any of the other space in the blue cell.	column	0.9520472349374413
28	09a6b1	FALSE	TRUE	0.92	0.953125	0.94775	0.956125	0	8	FALSE	NA	0	TRUE	Male	27	bach	Completed	Yes	No	None	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	target	3	3	4	100	First I looked to see which 3 x 3 block had the numbers 4 and 3 within it. I mentally noted that the 3 x 3 block with those two numbers already there could not contain another 3 or 4. I looked to the next column that I 3 or 4 could belong in. I noticed that a 4 could exist in that column but a 3 could not. That made me realize that 3 belonged in the green box.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	I noticed that 4 could fit in another position within the row but 3 could not.	['targetSingle']	It made 3 seem correct because that cell indicates that another 3 cannot exist in that column, but a 4 could.	Yes, I checked to see whether the candidate was actually correct.	I checked to see if that candidate could fit into another column.	I checked whether the candidate I chose could go in any of the empty blue cells in the row/column.	I solved the puzzle by ignoring the box that had a 4 and a 3 in them because no other 4 or 3 could exist in that 3 x 3 box. I then looked to see if a 4 four could exist some place on the row. I realized that there was a place for it within the row. That's when I realized that 3 was the correct answer.	row	0.9516311556507668
